,online_order,book_table,Ratings,Votes,Rest_Type,dish_liked,Cuisines,Cost_of_2_people,Type,City
0,1,1,4.1,775,20,3628,1393,800.0,0,1
1,1,0,4.1,787,20,2950,596,800.0,0,1
2,1,0,3.8,918,16,1409,485,800.0,0,1
3,0,0,3.7,88,62,2752,1597,300.0,0,1
4,0,0,3.8,166,20,3435,1414,600.0,0,1
5,1,0,3.8,286,20,3316,1163,600.0,0,1
7,1,1,4.6,2556,22,2005,1478,600.0,1,1
8,1,0,4.0,324,13,3882,463,700.0,1,1
9,1,0,4.2,504,13,5182,486,550.0,1,1
10,1,0,4.1,402,13,5183,333,500.0,1,1
11,1,1,4.2,150,13,2905,463,600.0,1,1
12,1,1,4.2,164,13,1733,381,500.0,1,1
13,0,0,4.0,424,13,4460,384,450.0,1,1
14,1,0,3.8,918,16,1409,485,800.0,1,1
15,1,0,3.8,90,13,2180,333,650.0,1,1
16,1,0,3.9,133,13,2954,442,800.0,1,1
17,1,0,3.8,144,13,3624,534,700.0,1,1
18,0,0,3.9,93,13,945,457,300.0,1,1
20,1,0,3.0,62,13,489,445,400.0,1,1
21,1,0,3.7,180,13,3859,497,500.0,1,1
23,1,0,3.6,62,65,3626,991,600.0,1,1
29,0,0,3.8,148,22,3562,1201,550.0,1,1
30,1,0,4.0,219,13,3858,456,600.0,1,1
31,1,0,2.8,506,62,605,1339,500.0,2,1
33,1,0,3.9,172,29,3418,1475,750.0,2,1
34,1,0,4.2,415,62,4302,1197,500.0,2,1
35,1,0,3.9,230,29,4076,236,650.0,2,1
37,1,0,4.2,1647,20,3269,611,600.0,2,1
38,1,0,4.4,4884,20,1250,1409,750.0,2,1
40,1,0,3.8,133,62,1810,1646,200.0,2,1
42,1,0,3.9,286,62,571,323,500.0,2,1
43,1,0,3.9,540,62,3358,1484,800.0,2,1
44,1,1,4.6,2556,22,2005,1478,600.0,2,1
45,0,0,3.8,36,29,4045,1321,400.0,2,1
46,1,0,3.6,244,62,265,1203,300.0,2,1
47,1,0,4.0,804,20,774,1225,450.0,2,1
48,1,0,3.7,679,20,2944,606,850.0,2,1
49,1,0,3.1,245,62,3543,1264,300.0,2,1
52,0,0,4.3,345,30,2348,962,400.0,2,1
53,1,0,4.0,618,20,4035,289,750.0,2,1
54,0,0,4.0,1047,62,3639,986,450.0,2,1
55,1,0,3.9,627,29,4421,929,450.0,2,1
57,1,1,4.2,354,20,4769,151,800.0,2,1
60,0,0,4.2,244,20,3647,1006,800.0,2,1
61,1,1,3.6,163,20,4595,921,800.0,2,1
63,0,1,4.0,808,20,4407,1203,850.0,2,1
65,1,0,4.1,1720,62,2269,1362,400.0,2,1
67,0,0,4.1,868,57,238,706,1200.0,2,1
71,0,0,4.1,520,62,5101,249,300.0,2,1
74,0,0,3.6,299,62,4258,873,300.0,2,1
76,1,0,4.1,558,62,254,1557,150.0,2,1
79,0,0,3.8,39,62,2752,1573,350.0,2,1
81,1,0,4.2,146,9,258,216,400.0,2,1
86,1,0,4.4,4401,20,1054,287,600.0,2,1
94,0,0,2.6,283,20,297,1163,600.0,2,1
95,0,0,3.3,62,4,1283,1599,800.0,2,1
98,0,0,3.7,65,62,3431,878,300.0,2,1
99,1,0,3.8,71,30,2332,965,400.0,2,1
100,0,0,3.5,52,62,4306,1557,300.0,2,1
101,0,0,3.7,130,62,1735,1557,200.0,2,1
103,0,0,3.8,45,72,1787,175,400.0,2,1
120,1,0,4.1,201,62,2808,1607,300.0,2,1
145,1,0,4.0,771,20,3472,1599,450.0,2,1
146,0,0,3.0,98,4,3416,1203,800.0,2,1
148,1,1,4.1,175,20,2035,1601,500.0,2,1
150,1,0,3.8,540,20,4287,1360,650.0,2,1
151,1,0,3.8,124,62,4273,586,400.0,2,1
152,1,0,4.1,340,72,3531,1399,500.0,2,1
153,1,0,3.8,505,62,553,323,450.0,2,1
155,1,0,4.1,438,30,4248,796,500.0,2,1
156,1,0,3.7,264,20,2482,1219,750.0,2,1
159,1,0,3.7,97,62,1038,1393,350.0,2,1
162,1,0,3.6,195,20,4187,599,800.0,2,1
